SKU;Brand;Title;Rating Value;Review Count;Price;Availability;Item;Model;URL Image;URL
5000207247;Bosch;Bosch 800 Series custom panel with Home Connect 9-cu ft Built-in Bottom-Freezer Refrigerator (Panel ready) ENERGY STAR;0.0;0.0;2399;InStock;2956279;B09IB91NSP;//mobileimages.lowes.com/product/converted/825225/825225955238.jpg;https://www.lowes.com/pd/Bosch-800-Series-custom-panel-with-Home-Connect-9-cu-ft-Built-in-Bottom-Freezer-Refrigerator-Panel-ready-ENERGY-STAR/5000207247
50369478;KitchenAid;KitchenAid 20.9-cu ft Bottom-Freezer Refrigerator with Ice Maker (Stainless Steel) ENERGY STAR;4.5;21.0;7699;OutOfStock;666409;KBBL306ESS;//mobileimages.lowes.com/product/converted/883049/883049336848.jpg;https://www.lowes.com/pd/KitchenAid-20-9-cu-ft-Bottom-Freezer-Refrigerator-with-Ice-Maker-Stainless-Steel-ENERGY-STAR/50369478
1000069649;GE;GE 20.9-cu ft Bottom-Freezer Refrigerator (Stainless Steel) ENERGY STAR;4.0;117.0;null;InStock;656590;GBE21DSKSS;//mobileimages.lowes.com/product/converted/084691/084691814276.jpg;https://www.lowes.com/pd/GE-20-9-cu-ft-Bottom-Freezer-Refrigerator-Stainless-Steel-ENERGY-STAR/1000069649
1000069651;GE;GE 20.9-cu ft Bottom-Freezer Refrigerator with Ice Maker (Stainless Steel) ENERGY STAR;4.5;447.0;null;InStock;656600;GDE21ESKSS;//mobileimages.lowes.com/product/converted/084691/084691814238.jpg;https://www.lowes.com/pd/GE-20-9-cu-ft-Bottom-Freezer-Refrigerator-with-Ice-Maker-Stainless-Steel-ENERGY-STAR/1000069651
1000034783;LG;LG 24.1-cu ft Bottom-Freezer Refrigerator with Ice Maker (Stainless Steel) ENERGY STAR;4.5;860.0;1599;OutOfStock;712897;LDCS24223S;//mobileimages.lowes.com/product/converted/048231/048231787444.jpg;https://www.lowes.com/pd/LG-24-1-cu-ft-Bottom-Freezer-Refrigerator-with-Ice-Maker-Stainless-Steel-ENERGY-STAR/1000034783
1000373015;KitchenAid;KitchenAid 9.95-cu ft Bottom-Freezer Refrigerator (Panel Ready) ENERGY STAR;0.0;0.0;3199;InStock;689222;KBBX104EPA;//mobileimages.lowes.com/product/converted/883049/883049366906.jpg;https://www.lowes.com/pd/KitchenAid-9-95-cu-ft-Bottom-Freezer-Refrigerator-Panel-Ready-ENERGY-STAR/1000373015
1000565549;Fisher & Paykel;Fisher & Paykel 5 17-cu ft Bottom-Freezer Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR;5.0;2.0;null;OutOfStock;1034288;RF170WDRUX5 N;//mobileimages.lowes.com/product/converted/822843/822843250691.jpg;https://www.lowes.com/pd/Fisher-Paykel-5-17-cu-ft-Bottom-Freezer-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Ezkleen-Stainless-Steel-ENERGY-STAR/1000565549
1000507259;Fisher & Paykel;Fisher & Paykel 17.5-cu ft Counter-depth Bottom-Freezer Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR;3.0;5.0;null;InStock;1034285;RF170BLPUX6 N;//mobileimages.lowes.com/product/converted/822843/822843251049.jpg;https://www.lowes.com/pd/Fisher-Paykel-17-5-cu-ft-Counter-depth-Bottom-Freezer-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000507259
1000507261;Fisher & Paykel;Fisher & Paykel ActiveSmart 17.1-cu ft Counter-depth Bottom-Freezer Refrigerator (Fingerprint-Resistant Stainless Steel) ENERGY STAR;3.0;6.0;null;InStock;1034286;RF170WDRX5 N;//mobileimages.lowes.com/product/converted/822843/822843250707.jpg;https://www.lowes.com/pd/Fisher-Paykel-ActiveSmart-17-1-cu-ft-Counter-depth-Bottom-Freezer-Refrigerator-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000507261
1001163520;LG;LG 14.7-cu ft Counter-Depth Bottom-Freezer Refrigerator (Platinum Silver) ENERGY STAR;3.0;5.0;null;InStock;1597273;LBNC15231V;//mobileimages.lowes.com/product/converted/772454/772454071300.jpg;https://www.lowes.com/pd/LG-14-7-cu-ft-Bottom-Freezer-Refrigerator-Platinum-Silver-ENERGY-STAR/1001163520
1001005994;Amana;Amana 22.1-cu ft Bottom-Freezer Refrigerator (Black);4.5;111.0;null;InStock;1462542;ABB2224BRB;//mobileimages.lowes.com/product/converted/883049/883049288345.jpg;https://www.lowes.com/pd/Amana-22-1-cu-ft-Bottom-Freezer-Refrigerator-Black/1001005994
1001006000;Amana;Amana 18.6-cu ft Bottom-Freezer Refrigerator (Black);4.5;101.0;null;InStock;1462543;ABB1924BRB;//mobileimages.lowes.com/product/converted/883049/883049288314.jpg;https://www.lowes.com/pd/Amana-18-6-cu-ft-Bottom-Freezer-Refrigerator-Black/1001006000
1001006018;Amana;Amana 18.6-cu ft Bottom-Freezer Refrigerator (White);4.5;100.0;1332;OutOfStock;429597;ABB1921BRW;//mobileimages.lowes.com/product/converted/883049/883049288161.jpg;https://www.lowes.com/pd/Amana-18-6-cu-ft-Bottom-Freezer-Refrigerator-White/1001006018
1001006012;Amana;Amana 18.6-cu ft Bottom-Freezer Refrigerator (Stainless Steel);4.5;98.0;null;InStock;1462548;ABB1921BRM;//mobileimages.lowes.com/product/converted/883049/883049288147.jpg;https://www.lowes.com/pd/Amana-18-6-cu-ft-Bottom-Freezer-Refrigerator-Stainless-Steel/1001006012
1001006006;Amana;Amana 18.6-cu ft Bottom-Freezer Refrigerator (Black);4.5;444.0;null;InStock;1462546;ABB1921BRB;//mobileimages.lowes.com/product/converted/883049/883049288178.jpg;https://www.lowes.com/pd/Amana-18-6-cu-ft-Bottom-Freezer-Refrigerator-Black/1001006006
1001287718;Amana;Amana 22.1-cu ft Bottom-Freezer Refrigerator (Stainless Steel);4.5;293.0;null;InStock;677329;ABB2224BRM;//mobileimages.lowes.com/product/converted/883049/883049288321.jpg;https://www.lowes.com/pd/Amana-22-1-cu-ft-Bottom-Freezer-Refrigerator-Stainless-Steel/1001287718
1001041312;Amana;Amana 22.1-cu ft Bottom-Freezer Refrigerator (White);4.5;112.0;1443;OutOfStock;429599;ABB2224BRW;//mobileimages.lowes.com/product/converted/883049/883049288338.jpg;https://www.lowes.com/pd/Amana-22-1-cu-ft-Bottom-Freezer-Refrigerator-White/1001041312
1001383234;Amana;Amana 18.6-cu ft Bottom-Freezer Refrigerator (Stainless Steel);4.5;292.0;1499;OutOfStock;1689421;ABB1924BRM;//mobileimages.lowes.com/product/converted/883049/883049288185.jpg;https://www.lowes.com/pd/Amana-18-6-cu-ft-Bottom-Freezer-Refrigerator-Stainless-Steel/1001383234
1000695102;Fisher & Paykel;Fisher & Paykel 13.5-cu ft Counter-depth Bottom-Freezer Refrigerator with Ice Maker (Fingerprint-Resistant Ezkleen Stainless Steel);0.0;0.0;null;InStock;1034278;RF135BDRUX4 N;//mobileimages.lowes.com/product/converted/822843/822843250639.jpg;https://www.lowes.com/pd/Fisher-Paykel-13-5-cu-ft-Counter-depth-Bottom-Freezer-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Ezkleen-Stainless-Steel/1000695102
1000694526;Fisher & Paykel;Fisher & Paykel 17.5-cu ft Counter-depth Bottom-Freezer Refrigerator (Fingerprint-Resistant White) ENERGY STAR;3.5;3.0;null;InStock;1034280;RF170BRPW6 N;//mobileimages.lowes.com/product/converted/822843/822843250998.jpg;https://www.lowes.com/pd/Fisher-Paykel-17-5-cu-ft-Counter-depth-Bottom-Freezer-Refrigerator-Fingerprint-Resistant-White-ENERGY-STAR/1000694526
1000694522;Fisher & Paykel;Fisher & Paykel 13.5-cu ft Counter-depth Bottom-Freezer Refrigerator (Fingerprint-Resistant Stainless Steel);0.0;0.0;null;InStock;1034260;RF135BRPX6 N;//mobileimages.lowes.com/product/converted/822843/822843251087.jpg;https://www.lowes.com/pd/Fisher-Paykel-13-5-cu-ft-Counter-depth-Bottom-Freezer-Refrigerator-Fingerprint-Resistant-Stainless-Steel/1000694522
1000694534;Fisher & Paykel;Fisher & Paykel 13.5-cu ft Counter-Depth Bottom-Freezer Refrigerator (Fingerprint-Resistant Stainless Steel);0.0;0.0;null;InStock;791487;RF135BDRX4 N;//mobileimages.lowes.com/product/converted/822843/822843242719.jpg;https://www.lowes.com/pd/Fisher-Paykel-13-5-cu-ft-Counter-depth-Bottom-Freezer-Refrigerator-Fingerprint-Resistant-Ezkleen-Stainless-Steel/1000694534
1000695106;Fisher & Paykel;Fisher & Paykel 17.5-cu ft Counter-depth Bottom-Freezer Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR;5.0;1.0;null;OutOfStock;1034284;RF170BRPUX6 N;//mobileimages.lowes.com/product/converted/822843/822843251032.jpg;https://www.lowes.com/pd/Fisher-Paykel-17-5-cu-ft-Counter-depth-Bottom-Freezer-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000695106
1000696178;Fisher & Paykel;Fisher & Paykel RF170W 17.1-cu ft Counter-depth Bottom-Freezer Refrigerator with Ice Maker (Fingerprint-Resistant Black Stainless Steel) ENERGY STAR;0.0;0.0;null;InStock;1216568;RF170WDRUB5;//mobileimages.lowes.com/product/converted/822843/822843256075.jpg;https://www.lowes.com/pd/Fisher-Paykel-RF170W-17-1-cu-ft-Counter-depth-Bottom-Freezer-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Black-Stainless-Steel-ENERGY-STAR/1000696178
1000700806;Fisher & Paykel;Fisher & Paykel 17.5-cu ft Counter-depth Bottom-Freezer Refrigerator (Fingerprint-Resistant White) ENERGY STAR;3.5;2.0;null;InStock;1034281;RF170BLPW6 N;//mobileimages.lowes.com/product/converted/822843/822843251001.jpg;https://www.lowes.com/pd/Fisher-Paykel-17-5-cu-ft-Counter-depth-Bottom-Freezer-Refrigerator-Fingerprint-Resistant-White-ENERGY-STAR/1000700806
5000240949;Avanti;Avanti 9.2-cu ft Bottom-Freezer Refrigerator (White) ENERGY STAR;0.0;0.0;1118.29;InStock;1843807;AVAFFBM92H0W;//mobileimages.lowes.com/product/converted/500024/5000240949.jpg;https://www.lowes.com/pd/Avanti-9-2-cu-ft-Bottom-Freezer-Refrigerator-White-ENERGY-STAR/5000240949
1003126364;Galanz;Galanz 12.4-cu ft Bottom-Freezer Refrigerator with Ice Maker (Stainless Steel) ENERGY STAR;0.0;0.0;1325.55;InStock;2693851;GLR12BS2K16;//mobileimages.lowes.com/product/converted/190873/190873003472.jpg;https://www.lowes.com/pd/Galanz-12-4-cu-ft-Built-in-Bottom-Freezer-Refrigerator-Single-Ice-Maker-Stainless-Steel-ENERGY-STAR/1003126364
1003164654;Equator Advanced Appliances;Equator Advanced Appliances MDRF375 10.5-cu ft Bottom-Freezer Refrigerator (Stainless) ENERGY STAR;0.0;0.0;1299;OutOfStock;2625975;MDRF375N-1100;//mobileimages.lowes.com/product/converted/100316/1003164654.jpg;https://www.lowes.com/pd/Equator-Advanced-Appliances-MDRF375-10-5-cu-ft-Bottom-Freezer-Refrigerator-Stainless-ENERGY-STAR/1003164654
1003126360;Galanz;Galanz 7.4-cu ft Bottom-Freezer Refrigerator (Hot Rod Red) ENERGY STAR;0.0;0.0;null;InStock;2691799;GLR74BRDR12;//mobileimages.lowes.com/product/converted/190873/190873005551.jpg;https://www.lowes.com/pd/Galanz-7-4-cu-ft-Bottom-Freezer-Refrigerator-Hot-Rod-Red-ENERGY-STAR/1003126360
1002891484;Fisher & Paykel;Fisher & Paykel 13.4-cu ft Counter-Depth Bottom-Freezer Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR;0.0;0.0;null;OutOfStock;2417897;RF135BDRJX4;//mobileimages.lowes.com/product/converted/822843/822843257980.jpg;https://www.lowes.com/pd/Fisher-Paykel-13-4-cu-ft-Bottom-Freezer-Refrigerator-Single-Ice-Maker-Stainless-steel-ENERGY-STAR/1002891484
1003008880;Summit Appliance;Summit Appliance Professiol 16.4-cu ft Bottom-Freezer Refrigerator Single Ice Maker (Stainless Steel) ENERGY STAR;1.0;1.0;2096;InStock;2638285;FFBF287SSIM;//mobileimages.lowes.com/product/converted/761101/761101049519.jpg;https://www.lowes.com/pd/Summit-Appliance-Professiol-16-4-cu-ft-Bottom-Freezer-Refrigerator-Single-Ice-Maker-Stainless-Steel-ENERGY-STAR/1003008880
1003008878;Summit Appliance;Summit Appliance Professiol 16.4-cu ft Bottom-Freezer Refrigerator Single Ice Maker (Stainless Steel) ENERGY STAR;0.0;0.0;1856;InStock;2638284;FFBF286SS;//mobileimages.lowes.com/product/converted/761101/761101049502.jpg;https://www.lowes.com/pd/Summit-Appliance-Professiol-16-4-cu-ft-Bottom-Freezer-Refrigerator-Single-Ice-Maker-Stainless-Steel-ENERGY-STAR/1003008878
1003008882;Summit Appliance;Summit Appliance Professiol 16.4-cu ft Bottom-Freezer Refrigerator Single Ice Maker (Stainless Steel) ENERGY STAR;0.0;0.0;1895.3;InStock;2638286;FFBF286SSLHD;//mobileimages.lowes.com/product/converted/761101/761101053073.jpg;https://www.lowes.com/pd/Summit-Appliance-Professiol-16-4-cu-ft-Bottom-Freezer-Refrigerator-Single-Ice-Maker-Stainless-Steel-ENERGY-STAR/1003008882
